threads,size,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10
1,64,0.132067,0.132456,0.132619,0.13319,0.133409,0.132006,0.131553,0.13409,0.132614,0.134325,
1,128,0.712213,0.710169,0.68728,0.704921,0.7007,0.612047,0.4358,0.380742,0.383611,0.712805,
1,256,4.25696,4.38499,3.4301,3.43166,3.42597,4.57797,3.40557,2.47671,2.4752,2.57154,
1,512,24.1314,24.2026,26.9202,26.8552,27.8782,25.2175,27.6155,22.844,23.9333,23.3041,
1,1024,182.239,186.217,180.444,186.134,193.639,172.573,193.719,193.259,196.156,183.718,
2,64,0.122259,0.122118,0.121783,0.121773,0.121397,0.130173,0.121299,0.121866,0.121536,0.123149,
2,128,0.416544,0.386134,0.415969,0.412393,0.402837,0.355798,0.300109,0.269456,0.403651,0.374868,
2,256,1.59794,2.17987,2.14146,1.36268,1.36082,2.16351,2.14268,1.36117,1.36041,1.36008,
2,512,9.07441,9.06161,9.06885,9.07789,11.2934,10.0218,9.05858,10.1719,9.9843,9.079,
2,1024,79.7662,79.5651,80.6908,80.9558,83.2276,79.9922,79.7111,79.5029,81.4486,86.0969,
4,64,0.122861,0.123435,0.117228,0.150736,0.131975,0.152633,0.157424,0.178141,0.161451,0.140932,
4,128,0.330737,0.32405,0.282276,0.262333,0.270932,0.277815,0.265588,0.251744,0.284352,0.283661,
4,256,1.27038,1.27833,1.29644,1.01884,1.28491,1.28193,0.969599,0.803894,1.28546,1.29807,
4,512,5.4647,5.62805,5.6133,5.59205,5.6319,5.80743,5.72713,5.58776,5.63441,5.59754,
4,1024,40.2889,42.7846,47.3983,42.9249,39.8906,42.4691,39.9271,41.4654,40.7358,41.6335,
8,64,0.135631,0.143731,0.139971,0.149547,0.148469,0.159193,0.208789,0.216039,0.259203,0.131012,
8,128,0.42008,0.276785,0.385929,0.364685,0.347815,0.391033,0.276481,0.25779,0.291135,0.295684,
8,256,1.22595,0.809163,0.763777,0.762442,1.15629,0.79745,0.825022,0.79553,0.762003,1.13548,
8,512,4.08696,3.65668,4.049,3.73103,3.58719,3.66767,3.61848,3.56454,2.72267,3.26588,
8,1024,22.4733,20.6799,19.4325,21.0678,20.2238,25.3363,22.8097,22.0607,26.9258,23.8225,
16,64,0.161134,0.163919,0.206316,0.66991,0.322803,0.507741,0.321636,1.14827,0.241364,1.80527,
16,128,0.341393,9.92429,0.365331,0.461311,0.550226,0.441208,0.574842,2.44736,0.382625,0.333572,
16,256,1.1049,1.2778,1.02337,0.938147,4.52999,0.879071,1.06902,0.626724,1.17694,1.18066,
16,512,2.96205,2.97554,3.61168,3.43043,5.37682,3.18,3.08604,2.88276,2.90404,2.56554,
16,1024,12.3962,11.6153,11.6393,38.6455,11.9274,13.2861,12.3734,12.7493,10.304,13.0889,
24,64,0.237202,0.262783,0.216123,5.95483,0.230434,2.29965,0.300525,0.216381,0.245309,1.7125,
24,128,0.977233,0.432416,0.59523,4.03771,0.49924,0.595181,1.30321,3.88849,0.617709,0.611478,
24,256,1.16618,2.20549,0.948367,2.78571,0.852328,2.50247,34.1752,1.11108,1.88038,20.7394,
24,512,2.39882,21.1639,83.9056,2.50505,4.09725,2.27983,50.9349,2.52559,2.63827,6.59051,
24,1024,8.66933,8.46175,8.5479,15.8724,11.2413,8.04343,32.8237,9.39325,8.9127,8.92783,
