threads,size,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10
1,64,0.0802401,0.0793828,0.0784163,0.0795856,0.0778756,0.0785049,0.0789194,0.0793667,0.0777352,0.0794075,
1,90,0.166646,0.164406,0.167592,0.166715,0.167757,0.165474,0.161801,0.164819,0.165618,0.165616,
1,128,0.413582,0.41453,0.417134,0.414881,0.417617,0.413616,0.423199,0.423134,0.415319,0.433317,
1,181,1.004,0.998653,1.00592,1.00177,1.00908,1.00784,1.00115,0.99661,0.998132,0.997809,
1,256,2.62996,2.62726,2.62838,2.62905,2.62648,2.63564,2.62925,2.63972,2.62283,2.62174,
1,313,4.3982,4.38478,4.40971,4.40657,4.40545,4.38496,4.40723,4.40958,4.39893,4.41963,
2,64,0.116332,0.114928,0.115138,0.115798,0.115242,0.114747,0.115113,0.115352,0.11552,0.115481,
2,90,0.214488,0.220069,0.221074,0.221392,0.218476,0.236009,0.217996,0.251452,0.222345,0.222461,
2,128,0.518757,0.501716,0.506336,0.506043,0.518022,0.518058,0.512379,0.516993,0.518667,0.544068,
2,181,1.23276,1.19527,1.23602,1.23026,1.22592,1.21344,1.23303,1.23438,1.23408,1.20898,
2,256,3.123,3.09068,3.12565,3.10565,3.13329,3.10417,3.11458,3.11604,3.09623,3.13342,
2,313,5.30359,5.29706,5.32093,5.30205,5.3336,5.59999,5.29784,5.32879,5.29441,5.30111,
4,64,0.10257,0.113971,0.113947,0.103266,0.113405,0.114071,0.111256,0.113372,0.0963063,0.108088,
4,90,0.190694,0.182547,0.185782,0.170538,0.187626,0.187134,0.176116,0.176412,0.17605,0.176118,
4,128,0.401179,0.377907,0.396058,0.377779,0.402383,0.368549,0.392058,0.378212,0.399007,0.378198,
4,181,0.850137,0.895517,0.904651,0.887642,0.858212,0.896377,0.91304,0.887344,0.894379,0.905269,
4,256,2.19783,2.05129,2.20608,2.20985,2.07749,2.20849,2.23476,2.08154,2.18439,2.18432,
4,313,3.8031,3.84794,3.8033,3.83506,3.83729,3.77904,3.78669,3.86402,3.80804,3.86404,
8,64,0.102516,0.110115,0.11279,0.120591,0.117275,0.119232,0.122942,0.120341,0.10602,0.118418,
8,90,0.164239,0.162886,0.177608,0.195902,0.198605,0.175902,0.155196,0.161956,0.171136,0.169783,
8,128,0.344836,0.338148,0.363218,0.401534,0.397493,0.347671,0.402603,0.383317,0.350027,0.340703,
8,181,0.679991,0.721852,0.748438,0.729224,0.73206,0.706281,0.70117,0.734442,0.727133,0.699673,
8,256,1.73957,1.76688,1.74604,1.79151,1.76325,1.64611,1.72999,1.74854,1.66643,1.72151,
8,313,2.9477,2.8915,2.75689,2.94139,2.99067,2.92078,2.97195,2.83129,2.9824,2.97672,
16,64,0.133669,0.133105,0.130537,0.123004,0.13132,0.130873,0.136481,0.14308,0.136492,0.128962,
16,90,0.196016,0.164694,0.189689,0.197324,0.264658,0.199874,0.19228,0.210044,0.194362,0.183193,
16,128,0.35203,0.387571,0.474377,0.341519,0.394066,0.343393,0.358594,0.355766,0.388769,0.36278,
16,181,0.7044,0.68469,0.726631,0.689665,0.724378,0.734111,0.671416,0.734002,0.667851,0.717961,
16,256,1.55808,1.62531,1.49596,1.5498,1.6073,1.61008,1.52293,1.63717,1.50181,1.6645,
16,313,2.75387,2.6821,2.718,2.50169,2.76767,2.70898,2.69821,2.84071,2.84704,2.7409,
24,64,0.160924,0.160866,0.180597,0.166296,0.170964,0.174568,0.167499,0.155506,0.152545,0.150521,
24,90,0.25854,0.278002,0.2705,0.229671,0.248686,0.228769,0.209294,0.545111,0.251902,0.259906,
24,128,0.418099,0.348825,1.04638,0.413009,0.345229,0.388659,0.401501,0.446369,0.435108,0.346804,
24,181,0.696798,0.731654,0.671037,0.683936,0.693548,0.722113,0.778186,0.744745,0.672811,0.711081,
24,256,1.48646,1.51972,2.93859,1.98417,1.50541,1.50743,1.79418,1.70897,1.44562,1.50778,
24,313,2.45843,2.64537,2.60252,2.47583,3.62531,2.42053,2.4424,2.63888,2.60855,2.4852,
