threads,size,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10
1,64,0.0845464,0.0835329,0.082585,0.0830345,0.0829324,0.0820615,0.0818096,0.0828544,0.082436,0.0827255,
1,128,0.418864,0.419107,0.418912,0.433958,0.419979,0.422913,0.424416,0.418224,0.419933,0.420085,
1,256,2.68735,2.66001,2.66252,2.65666,2.61502,2.62094,2.6591,2.66583,2.6182,2.62074,
1,512,21.3247,21.3548,22.1139,21.244,23.0599,22.8579,23.0111,22.9068,22.9824,23.0353,
1,1024,188.938,190.06,187.307,189.741,187.594,189.905,187.597,186.791,186.402,186.381,
2,64,0.100049,0.0985928,0.0989334,0.098102,0.0977321,0.0993661,0.0986716,0.0996775,0.0859674,0.0985578,
2,128,0.301942,0.29828,0.297336,0.293563,0.299725,0.293096,0.297265,0.291163,0.297509,0.283171,
2,256,1.44643,1.44845,1.44903,1.41631,1.44508,1.4433,1.44295,1.44541,1.44931,1.44855,
2,512,9.8175,9.79149,10.1347,9.86622,9.77599,9.84431,9.7819,9.78442,9.8519,9.84985,
2,1024,85.0079,101.942,85.8677,83.7514,84.4682,84.1556,84.6326,83.3709,84.125,82.2581,
4,64,0.103904,0.104324,0.103827,0.103366,0.103808,0.103945,0.103893,0.103565,0.104542,0.102659,
4,128,0.223806,0.22451,0.221851,0.225852,0.222582,0.22271,0.223021,0.220511,0.221024,0.221303,
4,256,0.842043,0.847149,0.852196,0.842954,0.841673,0.840219,0.849976,0.840778,0.840935,0.841213,
4,512,5.10688,5.10344,5.09915,5.13332,5.20279,5.10487,5.21217,5.12096,5.07434,5.11212,
4,1024,40.3676,40.6525,51.3424,41.2073,40.9589,38.9035,40.2917,40.1072,40.1927,38.8106,
8,64,0.112827,0.114488,0.117977,0.112314,0.117543,0.111713,0.108523,0.111143,0.117685,0.114965,
8,128,0.209533,0.195687,0.192991,0.192028,0.197773,0.202323,0.203782,0.202899,0.204316,0.197637,
8,256,0.577256,0.567543,0.554789,0.564822,0.561742,0.570598,0.559945,0.559985,0.553337,0.564209,
8,512,2.90353,2.85429,2.86404,2.91397,2.86568,2.90187,2.86858,2.87714,2.84827,2.81399,
8,1024,17.2297,17.4072,20.2768,20.3006,19.7474,23.105,33.5967,20.5569,33.1841,20.2457,
16,64,0.150515,0.146808,0.142496,0.136548,0.6389,0.140243,0.233471,0.154626,0.148775,0.143831,
16,128,0.284672,0.215484,0.336673,0.217877,0.214653,0.222851,0.199354,0.219099,0.218645,0.222236,
16,256,0.493645,0.48276,0.484197,0.482034,0.481454,0.692726,0.463654,0.472474,0.475739,0.483651,
16,512,1.80692,1.84546,1.81229,1.85395,1.87656,1.86331,1.81248,1.83521,1.78328,1.82554,
16,1024,9.68797,9.97111,9.99112,12.4721,9.88281,10.0388,12.0148,10.5916,10.1634,10.3136,
24,64,0.173033,0.171425,0.183476,0.167641,0.189141,0.174428,2.6493,3.81619,0.175078,0.689771,
24,128,0.259899,0.259177,0.267269,2.35473,0.259094,4.13806,0.247486,3.0667,0.252808,4.27448,
24,256,0.482372,5.43724,2.09382,3.33172,0.480057,3.98849,0.506846,2.25842,0.489723,4.49349,
24,512,1.57121,3.47415,3.29729,1.59028,1.68719,4.4437,2.44405,1.5507,1.57899,1.63354,
24,1024,7.47995,7.42069,7.74838,7.64371,8.78285,7.93644,8.30512,8.03614,14.6364,7.64566,
