#Description:	Naive, three-loop dgemm.

Size: 31	Mflop/s:  2219.87	Percentage:  1.16
Size: 32	Mflop/s:  2205.07	Percentage:  1.15
Size: 96	Mflop/s:  1694.95	Percentage:  0.88
Size: 97	Mflop/s:  1732.45	Percentage:  0.90
Size: 127	Mflop/s:  1494.77	Percentage:  0.78
Size: 128	Mflop/s:  944.539	Percentage:  0.49
Size: 129	Mflop/s:  2185.43	Percentage:  1.14
Size: 191	Mflop/s:  2444.75	Percentage:  1.27
Size: 192	Mflop/s:   1494.9	Percentage:  0.78
Size: 229	Mflop/s:  2374.58	Percentage:  1.24
Size: 255	Mflop/s:  2336.75	Percentage:  1.22
Size: 256	Mflop/s:  1054.15	Percentage:  0.55
Size: 257	Mflop/s:  1869.99	Percentage:  0.97
Size: 319	Mflop/s:  1833.22	Percentage:  0.95
Size: 320	Mflop/s:  804.314	Percentage:  0.42
Size: 321	Mflop/s:  1262.28	Percentage:  0.66
Size: 417	Mflop/s:  1281.51	Percentage:  0.67
Size: 479	Mflop/s:  1776.76	Percentage:  0.93
Size: 480	Mflop/s:  1624.46	Percentage:  0.85
Size: 511	Mflop/s:  1623.29	Percentage:  0.85
Size: 512	Mflop/s:  439.291	Percentage:  0.23
Size: 639	Mflop/s:  2165.55	Percentage:  1.13
Size: 640	Mflop/s:  748.458	Percentage:  0.39
Size: 767	Mflop/s:  1209.33	Percentage:  0.63
Size: 768	Mflop/s:  939.327	Percentage:  0.49
Size: 769	Mflop/s:  2169.13	Percentage:  1.13
Size: 800	Mflop/s:  2157.02	Percentage:  1.12
Size: 900	Mflop/s:  1730.96	Percentage:  0.90
Size: 1000	Mflop/s:  1740.06	Percentage:  0.91
Size: 1100	Mflop/s:  2154.31	Percentage:  1.12
Size: 1200	Mflop/s:  2166.88	Percentage:  1.13
#Average percentage of Peak = 0.871612
