#Description:	Naive, three-loop dgemm.

Size: 31	Mflop/s:  3485.63	Percentage:  7.26
Size: 32	Mflop/s:  3393.45	Percentage:  7.07
Size: 96	Mflop/s:  2683.45	Percentage:  5.59
Size: 97	Mflop/s:  3121.12	Percentage:  6.50
Size: 127	Mflop/s:  2948.77	Percentage:  6.14
Size: 128	Mflop/s:  1620.09	Percentage:  3.38
Size: 129	Mflop/s:  2948.77	Percentage:  6.14
Size: 191	Mflop/s:  2653.11	Percentage:  5.53
Size: 192	Mflop/s:  1611.21	Percentage:  3.36
Size: 229	Mflop/s:  2575.48	Percentage:  5.37
Size: 255	Mflop/s:  2532.35	Percentage:  5.28
Size: 256	Mflop/s:  988.591	Percentage:  2.06
Size: 257	Mflop/s:  2512.94	Percentage:  5.24
Size: 319	Mflop/s:  2479.36	Percentage:  5.17
Size: 320	Mflop/s:  1580.68	Percentage:  3.29
Size: 321	Mflop/s:  2456.28	Percentage:  5.12
Size: 417	Mflop/s:  2417.82	Percentage:  5.04
Size: 479	Mflop/s:  2380.49	Percentage:  4.96
Size: 480	Mflop/s:  2383.92	Percentage:  4.97
Size: 511	Mflop/s:  2366.56	Percentage:  4.93
Size: 512	Mflop/s:   601.11	Percentage:  1.25
Size: 639	Mflop/s:  2354.11	Percentage:  4.90
Size: 640	Mflop/s:   1472.5	Percentage:  3.07
Size: 767	Mflop/s:  2333.71	Percentage:  4.86
Size: 768	Mflop/s:  920.211	Percentage:  1.92
Size: 769	Mflop/s:  2352.48	Percentage:  4.90
Size: 800	Mflop/s:  2350.97	Percentage:  4.90
Size: 900	Mflop/s:  2337.53	Percentage:  4.87
Size: 1000	Mflop/s:  2325.01	Percentage:  4.84
Size: 1100	Mflop/s:   2322.2	Percentage:  4.84
Size: 1200	Mflop/s:  2349.51	Percentage:  4.89
#Average percentage of Peak = 4.76206
