#Description:	Reference dgemm.

Size: 31	Mflop/s:  8698.73	Percentage: 18.12
Size: 32	Mflop/s:    10583	Percentage: 22.05
Size: 96	Mflop/s:  10948.1	Percentage: 22.81
Size: 97	Mflop/s:  10050.2	Percentage: 20.94
Size: 127	Mflop/s:  9930.93	Percentage: 20.69
Size: 128	Mflop/s:  10358.7	Percentage: 21.58
Size: 129	Mflop/s:  11095.2	Percentage: 23.11
Size: 191	Mflop/s:  10906.4	Percentage: 22.72
Size: 192	Mflop/s:  11162.9	Percentage: 23.26
Size: 229	Mflop/s:    10690	Percentage: 22.27
Size: 255	Mflop/s:  10700.2	Percentage: 22.29
Size: 256	Mflop/s:  10669.6	Percentage: 22.23
Size: 257	Mflop/s:  10313.7	Percentage: 21.49
Size: 319	Mflop/s:  10884.8	Percentage: 22.68
Size: 320	Mflop/s:  11165.2	Percentage: 23.26
Size: 321	Mflop/s:  10875.7	Percentage: 22.66
Size: 417	Mflop/s:  10776.4	Percentage: 22.45
Size: 479	Mflop/s:  10848.2	Percentage: 22.60
Size: 480	Mflop/s:  11059.6	Percentage: 23.04
Size: 511	Mflop/s:  10609.6	Percentage: 22.10
Size: 512	Mflop/s:  10534.8	Percentage: 21.95
Size: 639	Mflop/s:  10801.3	Percentage: 22.50
Size: 640	Mflop/s:  10979.2	Percentage: 22.87
Size: 767	Mflop/s:  10842.2	Percentage: 22.59
Size: 768	Mflop/s:  10929.2	Percentage: 22.77
Size: 769	Mflop/s:  10785.4	Percentage: 22.47
Size: 800	Mflop/s:  11145.1	Percentage: 23.22
Size: 900	Mflop/s:  11088.4	Percentage: 23.10
Size: 1000	Mflop/s:  11132.1	Percentage: 23.19
Size: 1100	Mflop/s:  11188.4	Percentage: 23.31
Size: 1200	Mflop/s:  11153.2	Percentage: 23.24
#Average percentage of Peak = 22.3727
