threads,size,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10
1,64,0.0760944,0.0733081,0.0992005,0.0852875,0.0717235,0.0708432,0.0708284,0.0747298,0.075051,0.0734727,
1,128,0.381104,0.393097,0.375781,0.393371,0.383708,0.418016,0.385864,0.397531,0.388842,0.388197,
1,256,2.53534,2.50545,2.4562,2.47705,2.45893,2.47309,2.4817,2.46084,2.47758,2.5146,
1,512,19.4626,19.5759,19.6512,20.0127,19.5178,19.6597,19.5189,19.492,19.5955,19.4755,
1,1024,179.042,203.942,203.078,205.235,206.38,203.153,202.958,204.507,205.2,205.245,
2,64,0.0957562,0.08342,0.0855345,0.0801746,0.0808766,0.0769179,0.0863516,0.0832829,0.082008,0.0853072,
2,128,0.257786,0.242632,0.265457,0.291224,0.247713,0.282224,0.248177,0.240533,0.255413,0.252907,
2,256,1.32815,1.31802,1.3246,1.33868,1.30982,1.32349,1.35468,1.30216,1.3288,1.33746,
2,512,8.84883,8.89966,8.84429,8.95507,8.84847,8.89181,8.89664,8.84543,8.84758,8.90184,
2,1024,77.6417,77.8225,77.6671,78.4143,78.3628,77.7398,79.3565,80.2601,80.2337,79.2376,
4,64,0.0808855,0.0722545,0.0746556,0.0774213,0.0717003,0.0733404,0.0739509,0.0740994,0.072226,0.0740147,
4,128,0.175509,0.171875,0.174862,0.171415,0.182611,0.182301,0.173155,0.177634,0.179006,0.181722,
4,256,0.737718,0.734279,0.731334,0.726138,0.731125,0.730189,0.734447,0.739173,0.745727,0.743784,
4,512,4.55675,4.57199,4.55405,4.5702,4.56275,4.53657,4.58597,4.55283,4.54463,4.5693,
4,1024,36.4964,36.7716,47.8352,36.7813,37.3049,36.8518,36.7464,37.0367,43.6821,36.663,
8,64,0.0833851,0.089773,0.0870527,0.0860291,0.0811863,0.0811127,0.0801341,0.0857562,0.0813219,0.0752093,
8,128,0.154334,0.158069,0.143355,0.143481,0.154566,0.149568,0.153301,0.153614,0.160313,0.155519,
8,256,0.467646,0.472252,0.450714,0.463338,0.472608,0.467164,0.462281,0.470369,0.46002,0.464339,
8,512,2.50848,2.49094,2.51944,2.49806,2.49324,2.53198,2.50005,2.49549,2.50719,2.498,
8,1024,15.5966,17.6242,17.8915,15.8503,15.6686,15.6242,15.6047,18.6305,18.9179,17.6938,
16,64,0.11357,0.111043,0.108158,0.116217,0.120556,0.130779,0.112495,0.129229,0.108749,0.116114,
16,128,0.182383,0.165221,0.163926,0.176983,0.170026,0.167584,0.172493,0.163712,0.161182,0.16701,
16,256,0.391398,0.376338,0.397351,0.392999,0.383667,0.392979,0.376106,0.376485,0.396693,0.405641,
16,512,1.56637,1.6119,1.54622,1.62433,1.62864,1.55597,1.57393,1.52013,1.59477,1.62587,
16,1024,9.50186,9.56961,9.2991,10.7157,9.42815,8.53933,9.42924,9.56231,9.51723,9.34819,
24,64,0.133536,0.143506,0.136823,0.139135,0.136831,0.143338,0.137688,0.135899,0.140043,0.147954,
24,128,0.236961,0.19563,0.215448,0.228352,0.215244,0.220357,0.200339,0.205364,0.206667,0.206834,
24,256,0.430914,0.426474,0.423563,0.436955,0.44962,0.465261,0.435178,0.434561,0.451113,0.48122,
24,512,1.41568,1.34841,1.44385,1.35938,1.41645,1.34745,1.39227,1.38452,1.3913,1.38875,
24,1024,6.67119,6.82264,6.68125,6.9182,6.55218,6.49937,6.60903,6.5354,6.59782,6.72945,
