threads,size,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10
1,64,0.083048,0.0810189,0.0808815,0.0810374,0.0816159,0.0808433,0.0816736,0.0820252,0.0816898,0.0809029,
1,90,0.167604,0.168554,0.164448,0.168924,0.167782,0.167696,0.168277,0.167365,0.167658,0.167394,
1,128,0.420556,0.422143,0.419686,0.419077,0.414819,0.414291,0.415974,0.422399,0.422612,0.420949,
1,181,1.0007,0.998932,0.995337,0.996165,1.00182,1.00429,0.998184,0.996666,0.997042,1.00139,
1,256,2.62327,2.61565,2.62712,2.61149,2.61599,2.61085,2.6176,2.60871,2.61983,2.61543,
1,313,4.37647,4.36762,4.37687,4.38126,4.37117,4.37662,4.38247,4.37144,4.38887,4.37681,
2,64,0.200549,0.207003,0.197143,0.117629,0.196965,0.206807,0.206971,0.207304,0.199546,0.15039,
2,90,0.369152,0.364783,0.362937,0.368783,0.369324,0.366198,0.360642,0.223043,0.3622,0.370282,
2,128,0.809607,0.799809,0.811235,0.807269,0.831971,0.830657,0.784477,0.805635,0.78438,0.814023,
2,181,1.89161,1.90261,1.92884,1.91509,1.92403,1.19767,1.93097,1.86388,1.85168,1.87077,
2,256,4.65506,4.68781,4.5575,4.72961,3.07338,4.74199,4.73939,4.70844,4.73918,4.70282,
2,313,7.68365,7.76732,7.78191,5.98795,8.07209,8.05761,8.06439,8.09947,8.01384,8.08832,
4,64,0.193628,0.196942,0.118772,0.196155,0.199972,0.201273,0.191797,0.201467,0.181932,0.195304,
4,90,0.302012,0.311593,0.317361,0.22056,0.306074,0.298985,0.299322,0.294861,0.298868,0.301254,
4,128,0.575575,0.57661,0.589721,0.567051,0.573028,0.596385,0.455058,0.57808,0.555204,0.582631,
4,181,1.31615,1.20869,1.2295,1.22419,1.23892,1.23346,1.24833,1.23473,1.24387,1.23767,
4,256,2.89929,2.99938,2.90238,2.89993,2.83016,2.91915,2.94805,2.95902,2.91407,1.99483,
4,313,4.92891,4.83973,5.01015,4.89926,4.95871,4.96013,4.8438,4.90499,4.84842,4.97466,
8,64,0.197181,0.206855,0.159061,0.21075,0.215456,0.20723,0.202532,0.209702,0.20521,0.23035,
8,90,0.285245,0.301824,0.294703,0.271084,0.322173,0.513202,0.444513,0.392614,0.398675,0.215111,
8,128,0.488806,0.518917,0.483549,0.509782,0.511452,0.494453,0.544319,0.785498,0.7359,0.778165,
8,181,1.09434,1.05549,1.02993,0.99254,1.03615,1.04946,0.96336,0.974567,0.997457,1.04731,
8,256,2.23682,2.1981,2.15318,2.19026,2.2965,2.13237,2.30216,2.12811,2.5445,1.88289,
8,313,3.66657,3.35033,3.4861,3.70714,3.58036,3.59371,3.46095,3.81862,3.65527,3.57164,
16,64,0.2375,0.200139,0.251626,0.301572,0.259715,0.280908,0.261352,0.328771,0.305687,0.22016,
16,90,0.321266,0.392864,0.392649,0.43361,0.361982,0.400832,0.522968,0.36788,0.417285,0.360454,
16,128,0.68148,0.694558,1.04532,0.482099,0.926947,0.716874,0.583845,0.527788,0.492463,0.538403,
16,181,1.05076,1.10813,0.935617,0.989007,1.00152,0.984866,0.947172,0.999006,1.00121,1.21639,
16,256,2.2828,2.47057,2.13075,2.23206,2.07879,2.51903,2.28884,1.91357,2.0068,1.95491,
16,313,3.67794,3.29523,2.97428,3.302,3.78172,3.82274,3.24305,3.47889,3.54357,3.02973,
24,64,0.27689,0.331881,0.3101,0.299016,0.315072,0.276364,0.307711,0.309967,0.308783,0.320962,
24,90,0.866145,0.441097,0.415392,0.705033,0.708579,0.913608,0.456783,0.437434,0.445211,0.46424,
24,128,0.802151,0.603748,0.691461,0.658606,0.935078,0.67073,0.746788,0.765654,0.677168,0.577948,
24,181,1.00442,0.935322,1.02565,1.07106,0.976717,1.02715,0.955208,1.40379,0.950673,1.59391,
24,256,1.95657,1.93298,2.34776,1.91236,2.33553,2.31872,1.96746,2.07257,2.22411,2.33659,
24,313,3.06598,3.45504,2.85425,3.29871,2.93918,3.37528,2.94338,3.41564,3.46773,3.41354,
