size,processes,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10
128,1,0.133926,0.133781,0.135446,0.134222,0.133886,0.132632,0.134487,0.134198,0.134065,0.134033
256,1,0.907026,0.906403,0.906043,0.903905,0.910036,0.903848,0.905419,0.908739,0.908216,0.903196
512,1,8.86878,8.88399,8.87826,8.83333,8.8116,8.79421,8.90893,8.89973,8.89981,8.84198
1024,1,89.5493,89.6384,88.571,88.5501,88.704,87.9929,88.1567,88.2532,88.6635,88.6256
128,2,0.0756788,0.0747738,0.0752009,0.07542,0.0708977,0.0749007,0.0751878,0.0740099,0.0754563,0.0745007
256,2,0.471803,0.471034,0.471567,0.469775,0.470073,0.472582,0.472268,0.47364,0.47096,0.468813
512,2,3.62165,3.61862,3.93733,3.6096,3.60427,3.61135,3.62859,3.63014,3.61602,3.68145
1024,2,40.2443,40.2923,40.1497,40.3977,40.175,40.555,40.5468,40.2092,40.4689,40.1763
128,4,0.0496783,0.0521321,0.0513055,0.0516159,0.0507609,0.0515446,0.048715,0.0473598,0.0513044,0.0510711
256,4,0.267414,0.266544,0.267645,0.270569,0.264976,0.268615,0.268438,0.26556,0.267173,0.265678
512,4,1.77791,1.81348,1.77317,1.77813,1.77152,1.77677,1.78505,1.78059,1.79183,1.87028
1024,4,27.9881,28.0212,27.9046,19.3807,19.1361,18.9782,19.0487,27.7595,27.9289,27.7923
128,8,0.04395,0.0439772,0.0446246,0.0439597,0.0438809,0.0443699,0.0469241,0.0429437,0.0435237,0.0430779
256,8,0.161463,0.160443,0.157916,0.159131,0.160187,0.160902,0.160452,0.161668,0.160492,0.159749
512,8,0.965024,0.968118,0.962786,1.92077,0.969507,0.969973,0.959158,0.962468,0.987147,0.965807
1024,8,10.0636,7.53226,9.48565,9.60826,9.40249,16.1015,9.74161,9.52159,9.53956,10.2163
128,12,0.0462096,0.0422172,0.0469427,0.0476951,0.046071,0.0465764,0.0489861,0.0439661,0.0470804,0.0473327
256,12,0.130898,0.134244,0.135437,0.131989,0.136987,0.128428,0.13136,0.1364,0.130481,0.134733
512,12,0.682358,0.681857,0.674236,0.680992,0.681009,0.689165,0.676296,1.30447,0.682874,0.669471
1024,12,4.83469,4.68553,4.82908,6.42584,4.76396,7.24866,6.5645,4.63012,4.61338,4.97425
128,16,0.0486935,0.0839535,0.0508438,0.0489819,0.0521408,0.0494655,0.0493101,0.0453142,0.0476006,0.0507367
256,16,0.120076,0.123619,0.157812,0.128284,0.117148,0.126245,0.122141,0.128005,0.125968,0.116442
512,16,0.572659,0.56816,0.569226,0.577533,0.559587,0.562323,0.562651,0.564875,0.561739,0.562111
1024,16,4.16845,4.24462,5.53624,6.05976,5.92521,3.93812,5.51992,4.02387,4.06163,3.99546
128,20,0.0485263,0.0459964,0.064031,0.0489802,0.0473276,0.0481079,0.0475241,0.0479714,0.0474042,0.0475973
256,20,0.132266,0.110853,0.114723,0.11787,0.120001,0.135708,0.110592,0.118603,0.124078,0.111979
512,20,0.508686,0.485624,0.486111,0.47984,0.488052,0.486498,0.494799,0.483051,0.478746,0.471001
1024,20,3.40212,3.46556,3.96031,3.08191,3.43681,3.37264,3.05469,3.1664,3.47243,3.42837
128,24,0.0899758,0.0708572,0.0501531,0.0676426,0.0499634,0.0480746,0.0484262,0.0497055,0.0514814,0.0485553
256,24,0.106176,0.109129,0.106859,0.139888,0.107565,0.137392,0.108444,0.131293,0.108052,0.108369
512,24,0.420279,0.448487,0.425173,0.423655,0.42991,0.446593,0.425384,0.431736,0.44358,0.448657
1024,24,2.73094,2.70829,2.66857,2.69755,2.83167,2.72531,2.72489,2.68902,2.70148,2.71442
128,28,0.0856251,0.0959266,0.0905089,0.0853026,0.049431,0.0496626,0.0507751,0.128098,0.0507111,0.0507318
256,28,0.111075,0.119071,0.113061,0.105596,0.106722,0.111049,0.116694,0.120812,0.122726,0.185347
512,28,0.388865,0.403859,0.407085,0.762397,0.403112,0.389617,0.406402,0.406413,0.400141,0.413027
1024,28,2.48461,2.43074,4.54955,2.47265,2.43811,2.45311,2.42649,2.43836,4.44357,4.26819
128,32,0.0505778,0.104603,0.11025,0.0869089,0.118354,0.0821437,0.111862,0.0544645,0.0980712,0.11328
256,32,0.124629,0.224567,0.142472,0.200168,0.231748,0.193665,0.191875,0.195437,0.197474,0.200057
512,32,0.721143,0.664073,0.716523,0.896389,0.67715,0.67544,0.71223,0.707689,0.380393,0.387181
1024,32,3.98283,4.08471,2.41059,4.33348,2.28895,4.14484,2.27593,4.02319,2.29042,4.08097
