size,processes,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10
128,1,0.137552,0.136236,0.136603,0.13377,0.135119,0.138228,0.135828,0.137816,0.136523,0.13642
256,1,0.927777,0.921784,0.927387,0.929917,0.924726,0.92554,0.930929,0.92761,0.929379,0.929908
512,1,9.84023,10.0514,10.0932,9.93412,10.0814,10.187,9.93956,10.1328,10.3314,9.97801
1024,1,111.133,112.591,111.117,112.091,111.69,110.209,111.33,110.796,110.703,111.988
128,2,0.0704029,0.0698574,0.0701235,0.070356,0.0706328,0.0702597,0.0697847,0.0694584,0.070157,0.0702486
256,2,0.457621,0.457959,0.458677,0.456757,0.459058,0.458325,0.457952,0.458504,0.457919,0.458688
512,2,4.84623,4.80655,4.85996,4.80712,4.81543,4.85031,4.84271,4.84331,4.85951,4.82202
1024,2,64.5736,64.6825,64.4405,64.3185,64.437,64.3907,64.5223,64.6832,64.4002,64.539
128,3,0.0645936,0.0659578,0.0661995,0.0646034,0.0660634,0.0664786,0.0665282,0.0645842,0.0669121,0.0665982
256,3,0.346444,0.344956,0.350088,0.345895,0.346021,0.348686,0.347822,0.350892,0.349289,0.345081
512,3,2.47883,2.46604,2.4659,2.45482,2.5167,2.4552,2.4647,2.45652,2.46603,2.47122
1024,3,29.9755,39.0406,29.9707,39.2886,39.3485,39.2148,29.9606,39.316,29.8958,39.2873
128,4,0.0636246,0.0537466,0.059963,0.0628881,0.058418,0.0594428,0.0586587,0.0601908,0.0580947,0.0598687
256,4,0.277771,0.279236,0.277199,0.273118,0.279617,0.279821,0.273246,0.275314,0.278056,0.277698
512,4,1.76346,1.76511,1.76653,1.76128,1.7617,1.76848,1.76761,1.77839,1.7622,1.76724
1024,4,19.0504,18.9866,27.8884,27.8453,27.9168,19.2627,19.0956,19.0845,19.1463,18.6516
128,5,0.0562936,0.0563966,0.0564391,0.0562977,0.0563372,0.0555936,0.0554146,0.0564099,0.0567564,0.0535318
256,5,0.234378,0.232691,0.233933,0.232525,0.232743,0.231095,0.233185,0.233164,0.234154,0.231258
512,5,1.56336,1.57948,1.58309,1.58188,1.57993,1.58109,1.57682,1.57637,1.59788,1.57504
1024,5,12.5846,20.1009,20.7993,12.5162,20.9835,12.6854,20.8609,20.1684,20.963,20.8147
128,6,0.0601073,0.056143,0.0590436,0.0596981,0.0588607,0.0588073,0.0591308,0.0576857,0.058831,0.0582502
256,6,0.206856,0.20917,0.210056,0.210439,0.210583,0.206215,0.208868,0.207861,0.211597,0.210921
512,6,1.26014,1.25624,1.26045,1.2389,1.25877,1.26906,1.25346,1.25701,1.25672,1.24966
1024,6,9.86672,15.9616,9.90244,9.98376,16.0597,16.071,9.9167,9.95914,15.9225,16.182
